"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_a","BgRatio_a"
"hsa03050","Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","41/3832","46/8545",0.891304347826087,1.98752496142325,6.05532884712703,3.68460486457533e-10,1.27855788800764e-07,1.11313852224539e-07,"PSMB1/PSMC4/PSMA4/PSME4/PSMC5/PSME1/PSMD8/PSMC6/PSMA3/PSMB5/PSMA6/PSME2/PSMA7/PSMA2/PSMD3/PSMD11/IFNG/PSMD14/PSMF1/PSMB2/SEM1/PSMA1/ADRM1/PSME3/POMP/PSMB7/PSMB6/PSMA5/PSMD4/PSMB4/PSMC2/PSMD6/PSMC3/PSMD1/PSMD2/PSMD13/PSMD12/PSMB8/PSMB10/PSMB9/PSMB3",41,41,46
"hsa05012","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","169/3832","271/8545",0.623616236162362,1.3906056205656,5.89196319831803,2.9414206841416e-09,5.10336488698567e-07,4.44309334920336e-07,"NDUFAB1/SLC25A5/PSMB1/UQCRC1/PSMC4/SLC39A9/SLC18A1/PSMA4/HSPA5/MAPK9/CAMK2B/GNAI3/NDUFB4/CAMK2A/SDHA/TUBA3D/VDAC3/KEAP1/BAX/PSMC5/GNAS/NDUFB2/ITPR3/PSMD8/ATP5F1D/NDUFB7/XBP1/PSMC6/PSMA3/PSMB5/PSMA6/PSMA7/TUBB4A/KLC3/PSMA2/PPIF/PSMD3/PSMD11/NDUFC1/NDUFS8/SLC11A2/COX6A1/SLC39A7/COX7A2/PSMD14/NDUFS7/HTRA2/COX7A2L/PARK7/ATP5PB/ATF6/NDUFB3/NDUFA8/TUBA1B/ATP5F1E/NDUFA1/PSMB2/COX6B1/TRAP1/COX7C/UQCR11/TUBA4A/SEM1/ADORA2A/NDUFA5/PSMA1/ADRM1/UBA1/COX7B/NDUFA2/SLC39A11/EIF2S1/ATP5MC2/COX5B/TXN/PSMB7/SLC39A8/NDUFA9/SLC39A5/NDUFB10/SLC39A6/TP53/SLC39A3/SOD1/SLC6A3/PSMB6/PRKACB/PSMA5/SDHC/SLC39A1/CALM2/NDUFS6/NDUFB11/NDUFB9/SLC39A4/NDUFC2/TUBA3E/ATP5MC3/MCU/UBE2L6/COX6A2/NDUFS2/ATP5MC1/PSMD4/PSMB4/CALM3/UBE2J2/PSMC2/PSMD6/CASP3/UQCRQ/COX6C/NDUFB6/ATP5F1C/SLC39A13/PSMC3/TUBA1C/ATP5PD/KIF5C/NDUFS5/CALML6/UBB/COX7B2/GPR37/NDUFA3/MFN1/BCL2L1/EIF2AK3/CYCS/TUBB8B/UQCRH/PSMD1/NDUFA11/KLC2/PSMD2/DDIT3/COX8A/NDUFV2/CALML5/TUBAL3/COX5A/CYC1/TH/NDUFB1/UQCR10/SEPTIN5/NDUFA12/NDUFA6/PSMD13/NDUFA4L2/UBE2L3/NDUFA13/MAPT/TUBB4B/NDUFA4/TUBB/SLC39A10/PSMD12/TUBA3C/DAXX/VDAC1/NDUFS3/UBA52/UQCRHL/LOC107984365/TUBB3/TUBB8/NDUFA7/PSMB3",169,169,271
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","131/3832","205/8545",0.639024390243902,1.4249643566373,5.55317117945162,2.16407311696825e-08,2.50311123862661e-06,2.17925959498206e-06,"BAD/MAD1L1/SCIN/BAK1/EIF2AK2/TRAF1/CREB3L3/CASP8/PKM/POLB/CDC42/NFKB2/VDAC3/RBL1/TRAF5/BAX/RANBP1/HDAC10/SNW1/TRADD/VAC14/DNAJA3/CCNE1/JAK3/PIK3R2/HPN/CREB3/KAT2A/YWHAE/CCND1/CDKN1B/LTBR/GTF2H3/CHD4/HDAC1/CDC20/PIK3R3/CDK2/RBPJL/H2BC11/IRF3/TRAF2/YWHAH/CCNA1/KRAS/YWHAQ/CDK4/MDM2/RAC1/GTF2A2/TP53/PMAIP1/PRKACB/CREB3L4/CCNA2/SKP2/GTF2H2/HDAC8/ATP6V0D2/CDKN2A/CHEK1/GTF2E1/CREB3L1/H2BC5/H4C8/ATP6V0D1/CCR5/MAPKAPK2/REL/HDAC11/CASP3/YWHAZ/SYK/HNRNPK/YWHAB/DDB1/CDK1/HDAC3/RELA/HRAS/CCNE2/GRB2/CCR8/H2BC4/SCRIB/GTF2H2C/CCR3/CCR4/H2BC21/H2BC13/IRF7/USP7/HDAC2/H2BC26/H4C3/SRC/SND1/H4C11/H4C16/H2BC12/H2BC18/HLA-C/MRPS18B/HLA-G/HLA-F/HLA-A/NRAS/ATF6B/IRF9/H2BC15/H2BC12L/HLA-B/IKBKG/H4C15/H4C14/H4C12/H2BC14/H2BC8/H2BC6/H4C6/H2BC17/H4C13/H2BC9/H4C9/H2BC3/H4C5/H4C4/H2BC7/H2BC10/H4C1/H4C2",131,131,205
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","103/3832","158/8545",0.651898734177215,1.45367293411908,5.18994484376154,1.62695623034859e-07,1.4113845298274e-05,1.22878010028959e-05,"MAD1L1/DBF4/E2F2/DDX11/TRIP13/SMC1A/MCM2/MCM6/SMC1B/RBL1/NDC80/GSK3B/ORC1/ANAPC5/ORC6/CDC45/CDC6/CDC23/CDC7/MCM5/RBX1/CDC25B/E2F1/MCM4/CCNE1/FZR1/TGFB1/PPP2R1A/YWHAE/CCND1/ANAPC15/CDKN1B/FBXO5/MCM3/E2F3/TTK/PPP2CA/HDAC1/MAD2L2/ZBTB17/CDC20/TGFB3/PDS5A/CDK2/MAD2L1BP/PKMYT1/YWHAH/ANAPC13/CDKN2D/SGO1/MAU2/GADD45G/PCNA/CCNA1/E2F5/CCNB1/CDK7/YWHAQ/ORC3/CDK4/ESPL1/MDM2/KNL1/TICRR/ESCO1/TP53/ANAPC11/CCNA2/SKP2/CDCA5/CCNB3/HDAC8/CDKN2A/CHEK1/PPP2R5E/BUB3/BUB1B/CCNB2/CDC25C/DBF4B/CDC25A/MAD2L1/PTTG1/RAD21/ORC5/YWHAZ/MCM7/PLK1/YWHAB/CDT1/BUB1/CDK1/ESCO2/MTBP/CCNE2/SFN/ANAPC2/AURKB/CHEK2/ANAPC7/HDAC2/TFDP1/PRKDC",103,103,158
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","214/3832","371/8545",0.576819407008086,1.28625308791339,5.08293397611585,2.65988787242247e-07,1.80309788773533e-05,1.56981372297904e-05,"BAD/NDUFAB1/PSMB1/UQCRC1/PSMC4/BID/DNAH5/PSMA4/HSPA5/TPR/NDC1/NDUFB4/NUP133/PFN2/WIPI1/SDHA/NUP37/ACTB/TUBA3D/SEH1L/BAX/PSMC5/FUS/NDUFB2/NUP50/NUP188/ITPR3/PSMD8/ATP5F1D/NDUFB7/XBP1/DNAL4/NEFH/PSMC6/PSMA3/PSMB5/PSMA6/RAE1/PSMA7/MAP1LC3A/NXT2/NUP93/TUBB4A/KLC3/GRIN2D/DNAH11/PSMA2/PSMD3/PFN1/PSMD11/NDUFC1/SLC1A2/AMBRA1/NDUFS8/NUP107/COX6A1/FIG4/COX7A2/NUP155/PSMD14/NDUFS7/COX7A2L/GPX7/ATP5PB/ATF6/NDUFB3/GLE1/NDUFA8/GRIA2/NUP43/TARDBP/HNRNPA2B1/DNAI1/ATG101/TUBA1B/ATP5F1E/DNAH8/NDUFA1/NUP85/PSMB2/COX6B1/COX7C/TRAF2/UQCR11/TUBA4A/SEM1/NDUFA5/PSMA1/TOMM40/ADRM1/COX7B/NDUFA2/NUP210/NXT1/EIF2S1/UBQLN1/ATP5MC2/HNRNPA1/COX5B/RAC1/PSMB7/NCBP1/DERL1/DCTN3/RAB1A/ACTR1A/NDUFA9/NUP58/NDUFB10/TP53/SOD1/PSMB6/PSMA5/SDHC/NUP210L/NDUFS6/NDUFB11/NDUFB9/SIGMAR1/NDUFC2/TUBA3E/ATP5MC3/NUP205/RAB39B/MCU/MAPK13/COX6A2/SEC13/DNAH3/NDUFS2/TOMM40L/ATP5MC1/PSMD4/PSMB4/UBQLN4/SQSTM1/PSMC2/GRIN2C/PSMD6/DNALI1/GPX8/CASP3/UQCRQ/COX6C/NDUFB6/VCP/ATP5F1C/PSMC3/DCTN5/RAB8A/TUBA1C/ATP5PD/KIF5C/ATXN2L/NDUFS5/NRG4/HNRNPA3/COX7B2/NDUFA3/BCL2L1/DNAI2/EIF2AK3/CYCS/TUBB8B/UQCRH/PSMD1/CCS/DNAH12/NDUFA11/KLC2/PSMD2/DDIT3/COX8A/PFN4/GRIN1/ULK1/NDUFV2/TUBAL3/COX5A/CYC1/NDUFB1/ALYREF/TBK1/DNAH2/ACTG1/UQCR10/NDUFA12/NDUFA6/PSMD13/NDUFA4L2/DNAH14/NDUFA13/DNAH17/MAPK12/TUBB4B/NDUFA4/TUBB/BECN2/PSMD12/DNAH10/TUBA3C/DAXX/ATXN2/NUP62/VDAC1/NDUFS3/TNF/UQCRHL/LOC107984365/TUBB3/TUBB8/NDUFA7/NEFL/PSMB3",214,214,371
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","183/3832","311/8545",0.588424437299035,1.31213121521927,5.05599477604224,3.11774850905244e-07,1.80309788773533e-05,1.56981372297904e-05,"NDUFAB1/SLC25A5/POLR2J/AP2B1/PSMB1/UQCRC1/PSMC4/DNAH5/PSMA4/AP2S1/POLR2B/MAPK9/CREB3L3/CASP8/NDUFB4/WIPI1/SDHA/TUBA3D/VDAC3/REST/BAX/PSMC5/RCOR1/NDUFB2/PSMD8/ATP5F1D/NDUFB7/POLR2F/DNAL4/PSMC6/PSMA3/PSMB5/PSMA6/PSMA7/TUBB4A/KLC3/POLR2I/BBC3/DNAH11/STX1A/PSMA2/CREB3/PPIF/PSMD3/PSMD11/NDUFC1/SLC1A2/AMBRA1/NDUFS8/COX6A1/COX7A2/PSMD14/NDUFS7/COX7A2L/GPX7/ATP5PB/HDAC1/NDUFB3/NDUFA8/GRIA2/CLTA/DNAI1/ATG101/TUBA1B/ATP5F1E/DNAH8/NDUFA1/PSMB2/COX6B1/COX7C/TRAF2/UQCR11/TUBA4A/SEM1/NDUFA5/PSMA1/TAF4/ADRM1/MAP3K10/COX7B/NDUFA2/ATP5MC2/COX5B/PSMB7/DCTN3/PLCB2/ACTR1A/NDUFA9/NDUFB10/CLTC/TP53/SOD1/PSMB6/PSMA5/SDHC/CREB3L4/POLR2D/NDUFS6/NDUFB11/POLR2K/NDUFB9/CACNA1B/PLCB3/NDUFC2/TUBA3E/ATP5MC3/COX6A2/CREB3L1/DNAH3/NDUFS2/ATP5MC1/PSMD4/PSMB4/PSMC2/AP2M1/PSMD6/DNALI1/POLR2H/GPX8/CASP3/UQCRQ/COX6C/NDUFB6/ATP5F1C/PSMC3/DCTN5/TUBA1C/ATP5PD/POLR2G/KIF5C/NDUFS5/GRM5/COX7B2/NDUFA3/DNAI2/CYCS/TUBB8B/UQCRH/PSMD1/DNAH12/NDUFA11/KLC2/PSMD2/CLTB/COX8A/GRIN1/ULK1/POLR2L/KCNJ10/NDUFV2/TUBAL3/COX5A/CYC1/NDUFB1/DNAH2/UQCR10/NDUFA12/NDUFA6/PSMD13/NDUFA4L2/DNAH14/NDUFA13/DNAH17/TUBB4B/NDUFA4/TUBB/BECN2/HDAC2/AP2A1/PSMD12/DNAH10/TUBA3C/TGM2/VDAC1/NDUFS3/POLR2J2/UQCRHL/LOC107984365/TUBB3/TUBB8/NDUFA7/PSMB3/POLR2J3",183,183,311
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","118/3832","188/8545",0.627659574468085,1.39962188513303,4.99571481011714,4.46216984108234e-07,2.21196133550796e-05,1.92577856299343e-05,"SLC18A1/CREB3L3/GNAI3/ARAF/GNB1/GNAO1/GNAS/MACROH2A2/HDAC10/GRIN2D/H2AZ2/CREB3/MACROH2A1/GNB4/GRIN3B/HDAC1/NPY/H2BC11/GNG13/GNGT1/ADORA2A/HAT1/DDC/KRAS/SLC6A3/PRKACB/CREB3L4/CALM2/HDAC8/CAMK4/CREB3L1/H2BC5/H4C8/CALM3/SHC1/GRIN2C/GNG3/H3-3A/HDAC11/H2AZ1/GNGT2/GNG8/H3-4/GNG4/CALML6/HDAC3/GNB2/PPP1CA/GNG5/SLC29A2/HRAS/GRIN1/GRB2/CALML5/TH/H2AC6/H2BC4/H2AC25/H3C13/H2AC20/H2AC21/H2BC21/H2BC13/H3-5/H2AX/HDAC2/H2AC13/H2AC11/H2AC7/H2BC26/H4C3/H3C12/H4C11/H4C16/H2BC12/SLC29A3/H3C14/H2BC18/H3C15/NRAS/ATF6B/H2AL3/H2BC15/H2BC12L/GNG10/H2AJ/H4C15/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H4C6/H2BC17/H3C6/H2AC12/H4C13/H3C11/H2BC9/H3C1/H4C9/H2AC14/H2BC3/H2AC16/H4C5/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3",118,118,188
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","79/3832","117/8545",0.675213675213675,1.50566306229145,4.96576940040623,5.33071726784427e-07,2.31219861492745e-05,2.01304717877803e-05,"BAZ1B/DPF1/BRD9/RSF1/MTA3/BICRA/SMARCD1/MBD3/SMARCE1/ACTR6/ACTB/ACTL6B/SRCAP/MACROH2A2/BCL7C/CECR2/SMARCB1/MRGBP/ACTR5/RBBP7/CHRAC1/TFPT/H2AZ2/ZNHIT1/SMARCD2/CDK2AP1/CHD4/MACROH2A1/HDAC1/UCHL5/ARID1A/MORF4L2/YEATS4/SMARCA4/DPF2/ACTL6A/SS18/GATAD2B/POLE3/MTA2/SMARCA5/PHF6/RBBP4/VPS72/MEAF6/H2AZ1/GATAD2A/CDK2AP2/INO80E/CHD3/SMARCC1/RUVBL1/H2AC6/H2AC25/MTA1/RUVBL2/ACTG1/H2AC20/H2AC21/SS18L1/MCRS1/H2AX/ARID2/TRRAP/HDAC2/H2AC13/H2AC11/H2AC7/BAZ1A/BAZ2B/H2AL3/YY2/H2AJ/H2AC12/H2AC14/H2AC16/H2AC8/H2AC4/H2AC17",79,79,117
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","91/3832","141/8545",0.645390070921986,1.43915922652097,4.74114454620826,1.6374550565845e-06,6.31329894038689e-05,5.49648656420761e-05,"MACROH2A2/H2AZ2/IFNG/MACROH2A1/CD86/RO60/CD80/H2BC11/SNRPB/FCGR2A/FCGR1A/H2BC5/H4C8/H3-3A/H2AZ1/C2/SNRPD1/H3-4/C8G/HLA-DQB1/H2AC6/H2BC4/H2AC25/H3C13/H2AC20/H2AC21/H2BC21/H2BC13/H3-5/H2AX/HLA-DRB1/HLA-DQA1/H2AC13/H2AC11/H2AC7/H2BC26/H4C3/H3C12/H4C11/H4C16/H2BC12/HLA-DRB5/FCGR3A/H3C14/H2BC18/H3C15/HLA-DRA/HLA-DPB1/C4B/H2AL3/HLA-DPA1/HLA-DQB2/TNF/H2BC15/H2BC12L/HLA-DOB/HLA-DMB/C4A/H2AJ/H4C15/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H4C6/H2BC17/H3C6/H2AC12/H4C13/H3C11/H2BC9/H3C1/H4C9/H2AC14/H2BC3/H2AC16/H4C5/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3",91,91,141
"hsa03030","Genetic Information Processing","Replication and repair","hsa03030","DNA replication","30/3832","36/8545",0.833333333333333,1.85825504523312,4.65289234001465,2.20236351038958e-06,7.64220138105184e-05,6.65345607875589e-05,"POLA2/RFC2/POLD1/MCM2/MCM6/POLD3/MCM5/POLE2/POLA1/MCM4/RNASEH2A/LIG1/SSBP1/RPA3/POLD2/RFC5/MCM3/PCNA/RFC3/DNA2/PRIM2/POLE3/RFC4/MCM7/FEN1/RNASEH2C/POLD4/POLE/PRIM1/RPA4",30,30,36
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","118/3832","193/8545",0.61139896373057,1.36336225080316,4.60381505637305,3.08298916330855e-06,9.72506251478693e-05,8.46683737826134e-05,"SLC25A5/ITGAL/ITGA2B/CYBA/ACTB/VDAC3/MACROH2A2/HDAC10/AQP9/GSDMD/PIK3R2/H2AZ2/PPIF/SELPLG/MACROH2A1/HDAC1/NCF2/PIK3R3/H2BC11/PRKCG/MAP2K2/RAC2/HAT1/SIGLEC9/RAC1/PLCB2/AKT1/FCGR2A/HDAC8/PLCB3/FCGR1A/MAPK13/H2BC5/H4C8/NCF1/ITGB2/H3-3A/HDAC11/H2AZ1/CAMP/SYK/H3-4/ITGAM/CLCN5/FGG/FGB/HDAC3/AZU1/CLEC7A/RELA/H2AC6/H2BC4/H2AC25/H3C13/ACTG1/H2AC20/H2AC21/H2BC21/H2BC13/GP1BA/FPR3/MAPK12/H3-5/H2AX/HDAC2/H2AC13/H2AC11/H2AC7/H2BC26/H4C3/SRC/H3C12/H4C11/ATG7/CR1L/H4C16/H2BC12/FCGR3A/H3C14/H2BC18/H3C15/VDAC1/H2AL3/H2BC15/H2BC12L/H2AJ/H4C15/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H4C6/H2BC17/H3C6/H2AC12/H4C13/H3C11/H2BC9/H3C1/H4C9/H2AC14/H2BC3/H2AC16/H4C5/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3",118,118,193
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","162/3832","278/8545",0.58273381294964,1.29944165752993,4.57673005312423,3.36313401087732e-06,9.72506251478693e-05,8.46683737826134e-05,"BAD/NDUFAB1/SLC25A5/PSMB1/UQCRC1/PSMC4/PSMA4/HSPA5/MAPK9/CYBA/CREB3L3/NDUFB4/SDHA/TUBA3D/VDAC3/GSK3B/BAX/PSMC5/NDUFB2/ITPR3/PSMD8/ATP5F1D/NDUFB7/PSMC6/PSMA3/PSMB5/PSMA6/PSMA7/CSNK2A1/CACNA1F/TUBB4A/KLC3/GRIN2D/PIK3R2/PSMA2/CREB3/PPIF/PSMD3/PSMD11/NDUFC1/HSPA8/NDUFS8/COX6A1/COX7A2/PSMD14/NDUFS7/COX7A2L/GRIN3B/ATP5PB/NCF2/PIK3R3/NDUFB3/NDUFA8/TUBA1B/ATP5F1E/NDUFA1/PSMB2/COX6B1/COX7C/UQCR11/TUBA4A/SEM1/RAC2/NDUFA5/PSMA1/ADRM1/COX7B/NDUFA2/EIF2S1/ATP5MC2/COX5B/RAC1/PSMB7/NDUFA9/NDUFB10/SOD1/PSMB6/PRKACB/PSMA5/SDHC/CREB3L4/NDUFS6/NDUFB11/NDUFB9/CACNA1B/NDUFC2/TUBA3E/ATP5MC3/NCAM2/MCU/MAPK13/COX6A2/CACNA1D/CREB3L1/NCF1/NDUFS2/ATP5MC1/PSMD4/PSMB4/PSMC2/GRIN2C/PSMD6/PRKCD/CASP3/UQCRQ/COX6C/NDUFB6/ATP5F1C/PSMC3/TUBA1C/ATP5PD/KIF5C/STIP1/NDUFS5/COX7B2/NDUFA3/EIF2AK3/CYCS/HSPA6/TUBB8B/UQCRH/PSMD1/NDUFA11/KLC2/PSMD2/DDIT3/COX8A/GRIN1/C8G/NDUFV2/TUBAL3/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA6/PSMD13/NDUFA4L2/NDUFA13/MAPK12/TUBB4B/NDUFA4/TUBB/PSMD12/TUBA3C/HSPA1B/HSPA1A/HSPA1L/CSNK2B/VDAC1/NDUFS3/ATF6B/TNF/UQCRHL/CSNK2A3/LOC107984365/TUBB3/TUBB8/NDUFA7/CCL5/PSMB3",162,162,278
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","106/3832","171/8545",0.619883040935672,1.3822809459278,4.55311771998552,3.96638979318983e-06,0.000105872096787452,9.21744024814155e-05,"MBTPS2/CAPN1/BAK1/HSPA5/MAPK9/SEC61A1/SEC61A2/TRAM1/ERLEC1/UFD1/UBE2D1/LMAN1/DNAJC10/HSP90AA1/DNAJA1/BAX/EDEM2/NSFL1C/ERP29/GANAB/DNAJB11/HSP90AB1/DERL3/XBP1/RBX1/DNAJC5/SEC23B/MAGT1/STUB1/SEC61B/BAG1/WFS1/HSPA8/SEC24A/SSR3/MOGS/EDEM3/FBXO6/ATF6/RPN2/RAD23B/HSPH1/SIL1/SSR1/RRBP1/CANX/TRAF2/DAD1/PRKCSH/UBE2D2/SELENOS/SEC61G/HSPBP1/EIF2S1/EDEM1/TMEM258/STT3A/UBQLN1/DNAJB2/CKAP4/UGGT1/DNAJC1/DERL1/PLAA/PREB/SEC31A/PDIA6/UBXN4/DNAJC5B/HYOU1/SEC24D/PDIA4/SEC13/AMFR/UBE2J2/UBQLN4/SYVN1/KRTCAP2/SSR2/STT3B/RPN1/VCP/HSP90B1/PDIA3/LMAN2/EIF2AK3/HSPA6/TRAM1L1/DDIT3/MAN1B1/CALR/RAD23A/YOD1/SSR4/NPLOC4/P4HB/BCAP31/ERO1A/SVIP/OSTC/RNF5/HSPA1B/HSPA1A/HSPA1L/ATF6B/DDOST",106,106,171
"hsa04721","Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","55/3832","79/8545",0.69620253164557,1.55246624032134,4.44810272543497,6.87840971641073e-06,0.000170486297971037,0.000148428841248863,"AP2B1/SLC6A13/SLC6A7/SLC18A1/AP2S1/ATP6V1H/SYT1/NSF/DNM2/RIMS1/ATP6V1D/SLC32A1/SLC1A6/NAPA/RAB3A/ATP6V0A4/STX1A/SLC1A1/SLC6A4/SLC1A2/TCIRG1/SLC6A12/ATP6V0E1/ATP6V1A/ATP6V0B/CLTA/ATP6V1F/UNC13A/SLC6A11/SNAP25/ATP6V1G1/CLTC/CACNA1A/SLC6A3/ATP6V1C2/CPLX2/ATP6V1B2/ATP6V0D2/CACNA1B/ATP6V1C1/SLC6A1/ATP6V0D1/AP2M1/SLC6A5/CPLX4/STX3/CPLX1/ATP6V0E2/CLTB/SLC17A8/ATP6V0C/SLC18A3/SLC6A9/AP2A1/ATP6V1G2",55,55,79
"hsa03410","Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","34/3832","44/8545",0.772727272727273,1.72310922376162,4.33600607115435,1.14422262501625e-05,0.000264696833920426,0.000230450451494501,"LIG3/PNKP/TDP1/RFC2/POLD1/NTHL1/POLB/XRCC1/UNG/POLD3/POLE2/APEX1/MPG/LIG1/POLD2/NEIL3/RFC5/OGG1/ADPRS/SMUG1/MBD4/PARP2/PCNA/RFC3/APTX/TDG/PARP1/POLE3/RFC4/FEN1/POLD4/POLE/PARG/POLG2",34,34,44
"hsa00190","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","86/3832","138/8545",0.623188405797101,1.3896515990439,4.16092734453171,2.37666711651553e-05,0.000515439680894305,0.000448752277921023,"NDUFAB1/UQCRC1/ATP6V1H/NDUFB4/ATP6AP1/SDHA/NDUFB2/ATP5F1D/NDUFB7/ATP6V1D/ATP6V0A4/NDUFC1/NDUFS8/TCIRG1/COX6A1/COX7A2/ATP6V0E1/ATP6V1A/NDUFS7/COX7A2L/ATP5PB/ATP6V0B/NDUFB3/NDUFA8/ATP5F1E/NDUFA1/COX6B1/COX7C/UQCR11/ATP6V1F/NDUFA5/COX7B/NDUFA2/ATP5MC2/COX5B/ATP6V1G1/COX17/PPA2/NDUFA9/NDUFB10/SDHC/ATP6V1C2/NDUFS6/NDUFB11/ATP6V1B2/ATP6V0D2/NDUFB9/NDUFC2/ATP5MC3/ATP6V1C1/COX6A2/NDUFS2/ATP5MC1/ATP6V0D1/UQCRQ/COX6C/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/ATP5ME/COX7B2/NDUFA3/ATP6V0E2/CYCS/UQCRH/NDUFA11/COX8A/NDUFV2/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4L2/ATP6V0C/ATP4B/NDUFA13/NDUFA4/NDUFS3/ATP6V1G2/UQCRHL/ATP5MF/LOC107984365/NDUFA7",86,86,138
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","119/3832","204/8545",0.583333333333333,1.30077853166319,3.92055461507,6.19924619043506e-05,0.00126537554592998,0.00110166170690704,"ITGAL/E2F2/BTK/PSMC4/BID/CD44/BAK1/MAPK9/EIF2AK2/CASP8/NFKB2/TRAF5/BAX/PSMC5/OAS1/ICAM1/BLNK/PSMD8/PSMC6/SNW1/E2F1/TRADD/IKBKB/NFKBIB/RELB/CCNE1/TYK2/JAK3/PIK3R2/RIGI/PSMD3/PSMD11/CCND1/CDKN1B/OAS3/OAS2/E2F3/HES1/PSMD14/STAT1/HDAC1/CR2/PIK3R3/CDK2/RBPJL/IRF3/TRAF2/SEM1/GADD45G/ADRM1/CCNA1/CDK4/MDM2/RAC1/TP53/AKT1/CCNA2/SKP2/NFKBIE/BCL2L11/MAPK13/PSMD4/CD3G/PSMC2/PSMD6/SAP30/CASP3/SYK/PSMC3/B2M/PDIA3/CD3D/FADD/TAP1/CXCL10/STAT2/IFNB1/CYCS/MYD88/RELA/PSMD1/PSMD2/CCNE2/CD19/CALR/HLA-DQB1/TBK1/IRAK1/IRF7/PSMD13/USP7/ISG15/MAPK12/ENTPD8/HLA-DRB1/NCOR2/HDAC2/HLA-DQA1/PSMD12/HLA-DRB5/CD247/CD3E/TAP2/HLA-DRA/HLA-C/HLA-G/HLA-F/HLA-A/IRF9/HLA-DPB1/HLA-DPA1/TAPBP/HLA-DQB2/TNF/HLA-B/HLA-DOB/HLA-DMB/IKBKE/IKBKG",119,119,204
"hsa00510","Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","39/3832","55/8545",0.709090909090909,1.58120611121655,3.89899180092135,7.90491527095596e-05,0.00152389199945651,0.00132673139342945,"DPM1/ALG1/FUT8/MGAT4A/B4GALT1/ALG6/GANAB/MAGT1/MOGS/B4GALT2/RPN2/ALG2/ALG5/SRD5A3/DAD1/TMEM258/STT3A/DPM2/ALG10/ST6GAL2/B4GALT3/ALG8/MGAT4B/KRTCAP2/STT3B/RPN1/DOLPP1/MGAT5B/MGAT2/DHRSX/DPAGT1/DOLK/MAN1B1/DPM3/ALG12/OSTC/MGAT4D/ALG3/DDOST",39,39,55
